スポット名,緯度,経度,都市名,代替スポット
浅草寺,35.65618101782711,139.7183057352267,Tokyo,隅田公園
東京スカイツリー,35.742607145961486,139.77427653651668,Tokyo,十間橋
上野恩賜公園,35.70979909127171,139.70515827816726,Tokyo,不忍池
皇居,35.68979877262956,139.8363980603118,Tokyo,北の丸公園
新宿御苑,35.623402796066365,139.73881699723998,Tokyo,代々木公園
渋谷スクランブル交差点,35.623399178050434,139.79937834265309,Tokyo,代官山蔦屋
東京タワー,35.608712541825234,139.7467566614134,Tokyo,芝公園
お台場海浜公園,35.72992642186624,139.77801020317668,Tokyo,お台場ヴィーナスフォート
築地場外市場,35.69016725176148,139.7820065419015,Tokyo,月島
六本木ヒルズ,35.70621088666941,139.7277281683288,Tokyo,東京ミッドタウン
代々木公園,35.60308767414437,139.84543769416467,Tokyo,明治神宮
明治神宮,35.7454864778243,139.81626992350417,Tokyo,代々木公園
池袋サンシャインシティ,35.72486639612006,139.84092484123462,Tokyo,目白庭園
秋葉原,35.631850866601745,139.83422410256415,Tokyo,末広町
中野ブロードウェイ,35.62727374508107,139.78968499682165,Tokyo,高円寺
銀座中央通り,35.62751067647802,139.83828113525345,Tokyo,京橋エドグラン
豊洲市場,35.64563633644393,139.71327387530778,Tokyo,晴海ふ頭公園
日比谷公園,35.67871346474484,139.72939742936285,Tokyo,芝公園
高尾山口駅,35.66479175279632,139.70678409333658,Tokyo,高尾山口温泉
葛西臨海公園,35.64368437102971,139.7487995496145,Tokyo,若洲海浜公園
羽田空港第3ターミナル,35.69177793420836,139.7583015934534,Tokyo,大井競馬場
井の頭恩賜公園,35.620924079097804,139.74070235476609,Tokyo,善福寺公園
世田谷公園,35.64382169728028,139.82431062637278,Tokyo,砧公園
等々力渓谷,35.65495427649405,139.75351299900402,Tokyo,等々力渓谷
深大寺,35.66841049763256,139.7421401764531,Tokyo,神代植物公園
東京国立博物館,35.717776394208954,139.78140441247373,Tokyo,国立科学博物館
三鷹の森ジブリ美術館,35.62995106732375,139.7211386337462,Tokyo,井の頭自然文化園
東京ドームシティ,35.677135165762046,139.8203295471131,Tokyo,ラクーア
すみだ水族館,35.688862185329306,139.71118259655196,Tokyo,東京タワー
日本科学未来館,35.606967561908,139.84803304049007,Tokyo,船の科学館
文京シビックセンター,35.69113172778522,139.81583671539448,Tokyo,播磨坂
国立西洋美術館,35.62557861855309,139.72980735223013,Tokyo,上野の森美術館
東京芸術劇場,35.60975773894779,139.70082831756852,Tokyo,あうるすぽっと
浜離宮恩賜庭園,35.742332830588,139.82231921426822,Tokyo,旧芝離宮恩賜庭園
根津神社,35.74484480496118,139.80602860157714,Tokyo,湯島天満宮
谷中銀座,35.72125960221747,139.80935107520614,Tokyo,へび道
清澄庭園,35.645692065376004,139.81569055200288,Tokyo,清澄白河庭園
旧古河庭園,35.61465081710096,139.7111066977601,Tokyo,旧前田家本邸
柴又帝釈天,35.702634953976826,139.75376985928162,Tokyo,柴又川千本桜
飛鳥山公園,35.66602287406094,139.71738035892875,Tokyo,音無親水公園
